Comunidades y Ciudades Autónomas;Periodo;Total
07 Castilla y León;1987;98,3
07 Castilla y León;1986;98,32
07 Castilla y León;1985;98,35
07 Castilla y León;1984;98,39
07 Castilla y León;1983;98,4
07 Castilla y León;1982;98,34
07 Castilla y León;1981;98,27
07 Castilla y León;1980;98,28
07 Castilla y León;1979;98,3
07 Castilla y León;1978;98,27
07 Castilla y León;1977;98,24
07 Castilla y León;1976;98,22
07 Castilla y León;1975;98,18
08 Castilla - La Mancha;2022;100,83
08 Castilla - La Mancha;2021;100,84
08 Castilla - La Mancha;2020;100,78
08 Castilla - La Mancha;2019;100,72
08 Castilla - La Mancha;2018;100,8
08 Castilla - La Mancha;2017;100,94
08 Castilla - La Mancha;2016;101,11
08 Castilla - La Mancha;2015;101,26
08 Castilla - La Mancha;2014;101,39
08 Castilla - La Mancha;2013;101,65
08 Castilla - La Mancha;2012;101,86
08 Castilla - La Mancha;2011;101,92
08 Castilla - La Mancha;2010;102,19
08 Castilla - La Mancha;2009;102,34
08 Castilla - La Mancha;2008;102,18
08 Castilla - La Mancha;2007;101,34
08 Castilla - La Mancha;2006;100,75
08 Castilla - La Mancha;2005;100,34
08 Castilla - La Mancha;2004;99,9
08 Castilla - La Mancha;2003;99,52
08 Castilla - La Mancha;2002;99,05
08 Castilla - La Mancha;2001;98,94
08 Castilla - La Mancha;2000;98,88
08 Castilla - La Mancha;1999;98,86
08 Castilla - La Mancha;1998;98,83
08 Castilla - La Mancha;1997;98,81
08 Castilla - La Mancha;1996;98,76
08 Castilla - La Mancha;1995;98,71
08 Castilla - La Mancha;1994;98,65
08 Castilla - La Mancha;1993;98,58
08 Castilla - La Mancha;1992;98,53
08 Castilla - La Mancha;1991;98,47
08 Castilla - La Mancha;1990;98,5
08 Castilla - La Mancha;1989;98,51
08 Castilla - La Mancha;1988;98,51
08 Castilla - La Mancha;1987;98,48
08 Castilla - La Mancha;1986;98,46
08 Castilla - La Mancha;1985;98,44
08 Castilla - La Mancha;1984;98,38
08 Castilla - La Mancha;1983;98,28
08 Castilla - La Mancha;1982;98,15
08 Castilla - La Mancha;1981;98,09
08 Castilla - La Mancha;1980;98,01
08 Castilla - La Mancha;1979;97,96
08 Castilla - La Mancha;1978;97,86
08 Castilla - La Mancha;1977;97,78
08 Castilla - La Mancha;1976;97,75
08 Castilla - La Mancha;1975;97,71
09 Cataluña;2022;95,72
09 Cataluña;2021;95,8
09 Cataluña;2020;95,75
09 Cataluña;2019;95,63
09 Cataluña;2018;95,59
09 Cataluña;2017;95,76
09 Cataluña;2016;95,97
09 Cataluña;2015;96,16
09 Cataluña;2014;96,48
09 Cataluña;2013;97,07
09 Cataluña;2012;97,67
09 Cataluña;2011;98,15
09 Cataluña;2010;98,53
09 Cataluña;2009;98,86
09 Cataluña;2008;98,81
09 Cataluña;2007;98,41
09 Cataluña;2006;98,26
09 Cataluña;2005;97,86
09 Cataluña;2004;97,28
09 Cataluña;2003;96,85
09 Cataluña;2002;96,12
09 Cataluña;2001;95,96
09 Cataluña;2000;95,92
09 Cataluña;1999;95,9
09 Cataluña;1998;95,84
09 Cataluña;1997;95,81
09 Cataluña;1996;95,79
09 Cataluña;1995;95,77
09 Cataluña;1994;95,76
09 Cataluña;1993;95,74
09 Cataluña;1992;95,72
09 Cataluña;1991;95,71
09 Cataluña;1990;95,82
09 Cataluña;1989;95,92
09 Cataluña;1988;96
09 Cataluña;1987;96,06
09 Cataluña;1986;96,12
09 Cataluña;1985;96,15
09 Cataluña;1984;96,14
09 Cataluña;1983;96,18
09 Cataluña;1982;96,19
09 Cataluña;1981;96,15
09 Cataluña;1980;96,09
09 Cataluña;1979;96
09 Cataluña;1978;95,87
09 Cataluña;1977;95,76
09 Cataluña;1976;95,6
09 Cataluña;1975;95,43
10 Comunitat Valenciana;2022;96,84
10 Comunitat Valenciana;2021;96,96
10 Comunitat Valenciana;2020;97,04
10 Comunitat Valenciana;2019;97,09
10 Comunitat Valenciana;2018;97,21
10 Comunitat Valenciana;2017;97,38
10 Comunitat Valenciana;2016;97,59
10 Comunitat Valenciana;2015;97,76
10 Comunitat Valenciana;2014;97,96
10 Comunitat Valenciana;2013;98,29
10 Comunitat Valenciana;2012;98,64
10 Comunitat Valenciana;2011;98,82
10 Comunitat Valenciana;2010;99,05
10 Comunitat Valenciana;2009;99,33
10 Comunitat Valenciana;2008;99,37
10 Comunitat Valenciana;2007;99,03
10 Comunitat Valenciana;2006;98,85
10 Comunitat Valenciana;2005;98,37
10 Comunitat Valenciana;2004;97,84
10 Comunitat Valenciana;2003;97,42
10 Comunitat Valenciana;2002;96,87
10 Comunitat Valenciana;2001;96,68
10 Comunitat Valenciana;2000;96,61
10 Comunitat Valenciana;1999;96,56
10 Comunitat Valenciana;1998;96,48
10 Comunitat Valenciana;1997;96,41
10 Comunitat Valenciana;1996;96,35
10 Comunitat Valenciana;1995;96,27
10 Comunitat Valenciana;1994;96,18
10 Comunitat Valenciana;1993;96,06
10 Comunitat Valenciana;1992;95,98
10 Comunitat Valenciana;1991;95,92
10 Comunitat Valenciana;1990;96,02
10 Comunitat Valenciana;1989;96,12
10 Comunitat Valenciana;1988;96,18
10 Comunitat Valenciana;1987;96,2
10 Comunitat Valenciana;1986;96,22
10 Comunitat Valenciana;1985;96,26
10 Comunitat Valenciana;1984;96,26
10 Comunitat Valenciana;1983;96,24
10 Comunitat Valenciana;1982;96,21
10 Comunitat Valenciana;1981;96,16
10 Comunitat Valenciana;1980;96,12
10 Comunitat Valenciana;1979;96,04
10 Comunitat Valenciana;1978;95,94
10 Comunitat Valenciana;1977;95,84
10 Comunitat Valenciana;1976;95,76
10 Comunitat Valenciana;1975;95,65
11 Extremadura;2022;98,43
11 Extremadura;2021;98,44
11 Extremadura;2020;98,48
11 Extremadura;2019;98,61
11 Extremadura;2018;98,67
11 Extremadura;2017;98,8
11 Extremadura;2016;98,89
11 Extremadura;2015;98,97
11 Extremadura;2014;99
11 Extremadura;2013;99,04
11 Extremadura;2012;99,05
11 Extremadura;2011;98,98
11 Extremadura;2010;98,84
11 Extremadura;2009;98,76
11 Extremadura;2008;98,68
11 Extremadura;2007;98,39
11 Extremadura;2006;98,43
11 Extremadura;2005;98,43
11 Extremadura;2004;98,27
11 Extremadura;2003;98,13
11 Extremadura;2002;98,15
11 Extremadura;2001;98,14
11 Extremadura;2000;98,12
11 Extremadura;1999;98,11
11 Extremadura;1998;98,09
11 Extremadura;1997;98,03
11 Extremadura;1996;98
11 Extremadura;1995;97,97
11 Extremadura;1994;97,92
11 Extremadura;1993;97,86
11 Extremadura;1992;97,82
11 Extremadura;1991;97,79
11 Extremadura;1990;97,8
11 Extremadura;1989;97,8
11 Extremadura;1988;97,78
11 Extremadura;1987;97,75
11 Extremadura;1986;97,72
11 Extremadura;1985;97,63
11 Extremadura;1984;97,59
11 Extremadura;1983;97,49
11 Extremadura;1982;97,4
11 Extremadura;1981;97,38
11 Extremadura;1980;97,37
11 Extremadura;1979;97,29
11 Extremadura;1978;97,28
11 Extremadura;1977;97,23
11 Extremadura;1976;97,17
11 Extremadura;1975;97,12
12 Galicia;2022;93,24
12 Galicia;2021;93,27
12 Galicia;2020;93,26
12 Galicia;2019;93,3
12 Galicia;2018;93,39
12 Galicia;2017;93,49
12 Galicia;2016;93,54
12 Galicia;2015;93,58
12 Galicia;2014;93,62
12 Galicia;2013;93,69
12 Galicia;2012;93,7
12 Galicia;2011;93,59
12 Galicia;2010;93,49
12 Galicia;2009;93,37
12 Galicia;2008;93,17
12 Galicia;2007;92,95
12 Galicia;2006;92,82
12 Galicia;2005;92,71
12 Galicia;2004;92,63
12 Galicia;2003;92,5
12 Galicia;2002;92,4
12 Galicia;2001;92,42
12 Galicia;2000;92,48
12 Galicia;1999;92,56
12 Galicia;1998;92,65
12 Galicia;1997;92,73
12 Galicia;1996;92,84
12 Galicia;1995;92,93
12 Galicia;1994;93,01
12 Galicia;1993;93,08
12 Galicia;1992;93,16
12 Galicia;1991;93,24
12 Galicia;1990;93,38
12 Galicia;1989;93,51
12 Galicia;1988;93,64
12 Galicia;1987;93,73
12 Galicia;1986;93,81
12 Galicia;1985;93,88
12 Galicia;1984;93,94
12 Galicia;1983;93,98
12 Galicia;1982;93,97
12 Galicia;1981;93,89
12 Galicia;1980;93,85
12 Galicia;1979;93,83
12 Galicia;1978;93,76
12 Galicia;1977;93,64
12 Galicia;1976;93,57
12 Galicia;1975;93,49
13 Madrid, Comunidad de;2022;92
13 Madrid, Comunidad de;2021;91,98
13 Madrid, Comunidad de;2020;92,05
13 Madrid, Comunidad de;2019;92,11
13 Madrid, Comunidad de;2018;92,21
13 Madrid, Comunidad de;2017;92,31
13 Madrid, Comunidad de;2016;92,37
13 Madrid, Comunidad de;2015;92,41
13 Madrid, Comunidad de;2014;92,54
13 Madrid, Comunidad de;2013;92,75
13 Madrid, Comunidad de;2012;93,07
13 Madrid, Comunidad de;2011;93,39
13 Madrid, Comunidad de;2010;93,69
13 Madrid, Comunidad de;2009;94,01
13 Madrid, Comunidad de;2008;94,09
13 Madrid, Comunidad de;2007;93,89
13 Madrid, Comunidad de;2006;93,77
13 Madrid, Comunidad de;2005;93,7
13 Madrid, Comunidad de;2004;93,4
13 Madrid, Comunidad de;2003;93,15
13 Madrid, Comunidad de;2002;92,84
13 Madrid, Comunidad de;2001;92,77
13 Madrid, Comunidad de;2000;92,76
13 Madrid, Comunidad de;1999;92,75
13 Madrid, Comunidad de;1998;92,76
13 Madrid, Comunidad de;1997;92,77
13 Madrid, Comunidad de;1996;92,81
13 Madrid, Comunidad de;1995;92,85
13 Madrid, Comunidad de;1994;92,87
